15200109	190	200	220	Küssaburg-Member
15200110	190	200	220	Wangen-Member
15200111	190	200	220	Hornbuck-Member
15200112	190	200	220	Crenularis-Member
15200113	190	200	220	Geissberg-Member
15200114	195	205	200	Wildegg-Formation
15200115	191	194	158	Effingen-Member
15200116	195	200	190	Gerstenhübel-Bank
15200117	210	210	210	Birmenstorf-Member
15200118	165	200	195	Günsberg-Formation
15200119	165	200	195	Moutier-Korallenkalk
15200120	180	150	120	Klingnau-Formation
15200121	180	150	120	Knorri-Ton
15200122	180	150	120	Wuerttembergica-Schichten
15200123	180	150	120	Subfurcatum-Bank
15200124	180	150	120	Blagdeni-Schichten
15200125	245	170	150	Keuper
15200126	250	190	165	Klettgau-Formation
15200127	250	220	200	Belchen-Member
15200128	245	160	145	Bänkerjoch-Formation
15200129	240	160	70	Muschelkalk
15200130	250	165	75	Schinznach-Formation
15200131	250	190	95	Asp-Member
15200132	250	190	95	Stamberg-Member
15200133	250	165	75	Liedertswil-Member
15200134	250	165	75	Kienberg-Member
15200135	245	150	60	Zeglingen-Formation
15200136	245	150	60	Obere Sufatzone
15200137	245	150	60	Salzlager
15200138	245	150	60	Untere Sulfatzone
15200139	225	160	80	Kaiseraugst-Formation
15200140	225	160	80	Orbicularis-Mergel
15200141	225	160	80	Wellenkalk / Wellenmergel
15200142	225	160	80	Wellendolomit
15200143	205	140	85	Buntsandstein
15200144	205	140	85	Dinkelberg-Formation
15200145	205	140	85	Rhötton
15200146	205	140	85	Plattensandstein
15200147	205	140	85	Karneol-Horizont
15200148	185	210	110	Narlay-Formation
15200149	245	155	155	Perte-du-Rhône-Formation
15200150	160	180	95	Grand-Essert-Formation
15200151	185	190	90	Pierre Jaune de Neuchâtel
15200152	145	160	85	Hauterive-Mergel
15200153	215	200	145	Vuache-Formation
15200154	215	200	145	Alectryonia-Kalk
15200155	215	200	145	Arzier-Mergel
15200156	210	195	180	Goldberg-Formation
15200157	215	110	70	Wiesental-Formation
15200158	185	125	90	Weitenau-Formation
15200159	165	185	165	Weiach-Formation
15200160	170	190	210	Günsberg-, Vellerat-, Villigen-, Balsthal- und Courgenay-Formation, undifferenziert
15200161	150	200	150	Kreide des Juragebirges
15200162	125	175	250	Jura des Juragebirges
15200163	240	160	120	Trias des Juragebirges
15200175	245	110	50	Bohnerzton
15200176	245	110	50	Boluston
15200177	245	110	50	Hupper
15200178	180	160	120	Homomya-Mergel
15200179	205	140	85	Vogesen-Sandstein
15200180	245	110	50	Glassand
15200181	250	175	175	Mussel-Member
15200182	240	145	145	Fulie-Member
15200183	185	190	90	Uttins-Mergel
15200184	145	160	85	Mergelkalk-Zone
15200185	215	200	145	Bryozoen-Mergel
15200186	165	210	185	Zuckerkörniger Kalk
15200187	150	210	220	Chevenez-Member
15200188	175	200	220	Balsthal-Formation
15200189	175	200	220	Verena-Member
15200190	175	200	220	Holzflue-Member
15200191	175	179	196	Laufen-Member
15200192	175	200	220	Olten-Member
15200193	175	200	220	Steinibach-Member
15200194	175	195	170	Grüne Mumienbank
15200195	195	200	190	Pecten-Bank
15200196	210	180	140	Ferrugineus-Oolith
15200197	200	170	130	Wittnau-Korallenkalk
15200198	180	160	120	Furcil-Mergel
